Epoch,Total Loss,Reg Loss,Adv Loss,Val Loss,Gap (Val - Reg),Reg/Adv Ratio
0,1.0422,0.0565,0.5076,0.0423,-0.014200000000000004,0.1113081144344343
1,0.9435,0.0411,0.4256,0.0451,0.0040000000000000036,0.09656954660315915
2,0.8715,0.0361,0.3837,0.0421,0.005999999999999998,0.09408391727693727
3,0.8152,0.0401,0.3423,0.042,0.0019000000000000059,0.11714869654838747
4,0.7739,0.0362,0.323,0.042,0.0058,0.11207429993578019
5,0.7458,0.0356,0.3169,0.0369,0.0013000000000000025,0.11233827351409677
6,0.7203,0.0349,0.3151,0.0369,0.0020000000000000018,0.11075848585342794
7,0.695,0.0339,0.314,0.0368,0.0029,0.1079617800012172
8,0.671,0.0332,0.3135,0.0366,0.0034000000000000002,0.10590111304940629
9,0.6448,0.0295,0.3135,0.0366,0.007100000000000002,0.0940988805710086
10,0.6193,0.0289,0.3137,0.0237,-0.0052,0.09212623231985234
11,0.5944,0.0201,0.3139,0.0244,0.004300000000000002,0.06403312953064258
12,0.5665,0.0156,0.314,0.0238,0.008200000000000002,0.04968152708020614
13,0.5398,0.0144,0.3149,0.0229,0.0085,0.04572880134236896
14,0.5133,0.0146,0.3164,0.0227,0.008100000000000001,0.046144119906949436
15,0.4859,0.0164,0.3219,0.0104,-0.006000000000000002,0.05094749764064935
16,0.4509,0.0138,0.3462,0.0115,-0.0023,0.03986135066836075
17,0.3867,0.0126,0.4348,0.0129,0.0002999999999999999,0.02897884017987948
18,0.2243,0.018,0.6637,0.0125,-0.005499999999999998,0.027120686648776756
19,0.1487,0.0083,0.6637,0.0126,0.0043,0.012505649954713727
